platform,social_id,username,fullname,avatar_url,is_verified,subscribers_count,engagement_avg,authentic_engagement,audience_geo_country_1_code,audience_geo_country_1_prc,blogger_thematics,video_views_avg,likes_avg,comments_avg,shares_avg,description,tier,hs_value,aqs,additional_countries
Instagram,1208054077,2pac,Tupac Shakur,https://cdn.hypeauditor.com/img/instagram/user/1208054077.jpg?w=150&till=1722470340&sign=75b124df8165dcb4302c5126a2c315d2,True,9022315,76549.0,55351.0,us,28.16,"['Music', 'Lifestyle', 'Humor & Fun & Happiness', 'Cinema & Actors/actresses']",,,,,,,,,
Instagram,46444308303,30sertanejo,É A 30! 🤠🔥🍻,https://cdn.hypeauditor.com/img/instagram/user/46444308303.jpg?w=150&till=1722470340&sign=7970095051f02435dd76847d8e0d1295,False,1380395,501440.0,390463.0,br,77.15,"['Shows', 'Humor & Fun & Happiness', 'Music']",,,,,,,,,
Instagram,1946899430,333cyj333,YOUNGJAE,https://cdn.hypeauditor.com/img/instagram/user/1946899430.jpg?w=150&till=1722470340&sign=01a11048232c8dd3e9de53243fa4ff3e,True,6436397,183496.0,146678.0,th,17.33,['Music'],,,,,,,,,
Instagram,212663503,3gerardpique,Gerard Piqué,https://cdn.hypeauditor.com/img/instagram/user/212663503.jpg?w=150&till=1722470340&sign=b3cc3a4a5809752ddfe2d8c333f8847f,True,22298880,228250.0,171242.0,es,16.43,['Sports with a ball'],,,,,,,,,
Instagram,259220806,9gag,9GAG: Go Fun The World,https://cdn.hypeauditor.com/img/instagram/user/259220806.jpg?w=150&till=1722470340&sign=8d5a36f1f07b92d03dcdd05050031b61,True,56807517,42785.0,35513.0,id,9.68,['Humor & Fun & Happiness'],,,,,,,,,
Instagram,12915205,abrunalouise,Bruna Louise,https://cdn.hypeauditor.com/img/instagram/user/12915205.jpg?w=150&till=1722470340&sign=991cf4592ddea22dc9254e2f2647a08f,True,6069611,113814.0,68361.0,br,83.49,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,1985619235,actorleeminho,이민호 leeminho,https://cdn.hypeauditor.com/img/instagram/user/1985619235.jpg?w=150&till=1722470340&sign=954c2076f9b009fab19f4132b98bf711,True,35120279,1537409.0,1315716.0,id,31.94,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,244942700,adamlevine,Adam Levine,https://cdn.hypeauditor.com/img/instagram/user/244942700.jpg?w=150&till=1722470340&sign=ea971fe4b7043a717936e5862e8af5a5,True,14977210,54362.0,42409.0,us,22.38,"['Music', 'Cinema & Actors/actresses']",,,,,,,,,
Instagram,1346502623,adamsandler,Adam Sandler,https://cdn.hypeauditor.com/img/instagram/user/1346502623.jpg?w=150&till=1722470340&sign=1c422cacc9370c57c61febb83a93994d,True,21661968,320757.0,251265.0,us,44.65,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,2242640123,adele,Adele,https://cdn.hypeauditor.com/img/instagram/user/2242640123.jpg?w=150&till=1722470340&sign=05abc2a70209eb1f69ed179f7f2e0961,True,56602744,1277330.0,990140.0,us,19.98,['Music'],,,,,,,,,
Instagram,9187952,adidasoriginals,adidas Originals,https://cdn.hypeauditor.com/img/instagram/user/9187952.jpg?w=150&till=1722470340&sign=ad49f82b7a9b893e457e80eeaeb873a9,True,34487680,19345.0,15177.0,us,17.51,"['Clothing & Outfits', 'Shopping & Retail']",,,,,,,,,
Instagram,214602620,adrianoimperador,Adriano imperador,https://cdn.hypeauditor.com/img/instagram/user/214602620.jpg?w=150&till=1722470340&sign=a1af46486e5e76d5d2fd1f9f77e39e1f,True,9487467,86884.0,60631.0,br,72.87,['Sports with a ball'],,,,,,,,,
Instagram,1516195981,afaseleccion,Selección Argentina,https://cdn.hypeauditor.com/img/instagram/user/1516195981.jpg?w=150&till=1722470340&sign=3db67e9c1470bbcf24f51ccb0611a74e,True,13329925,152154.0,123550.0,ar,46.62,['Sports with a ball'],,,,,,,,,
Instagram,239345282,afbjoao,👑,https://cdn.hypeauditor.com/img/instagram/user/239345282.jpg?w=150&till=1722470340&sign=ed3b17d0a9effbf15d542bcac8c0152b,True,1127705,599438.0,250831.0,br,74.4,['Lifestyle'],,,,,,,,,
Instagram,492117004,agusbernasconi07,Agus Bernasconi,https://cdn.hypeauditor.com/img/instagram/user/492117004.jpg?w=150&till=1722470340&sign=2b515784ffe0ee8be393a47780b692b9,True,9235566,120791.0,75941.0,ar,44.32,['Music'],,,,,,,,,
Instagram,374233619,agustinofficial,Agustin Fernandez DIVO Beauty,https://cdn.hypeauditor.com/img/instagram/user/374233619.jpg?w=150&till=1722470340&sign=89497f3a2b1649f63e9f86ffc02d26d2,True,6078714,157867.0,102595.0,br,76.97,['Beauty'],,,,,,,,,
Instagram,21145471,ahickmann,Ana Hickmann,https://cdn.hypeauditor.com/img/instagram/user/21145471.jpg?w=150&till=1722470340&sign=696867fafaf409d48b20182179d18730,True,18684290,50829.0,31842.0,br,77.02,['Shows'],,,,,,,,,
